EventType: TYPE_VIEW_TEXT_SELECTION_CHANGED; EventTime: 48549924; PackageName: com.netease.cloudmusic; MovementGranularity: 0; Action: 0 [ ClassName: android.widget.EditText; Text: [188]; ContentDescription: null; ItemCount: 3; CurrentItemIndex: -1; IsEnabled: true; IsPassword: false; IsChecked: false; IsFullScreen: false; Scrollable: false; BeforeText: null; FromIndex: 3; ToIndex: 3; ScrollX: -1; ScrollY: -1; MaxScrollX: -1; MaxScrollY: -1; AddedCount: -1; RemovedCount: -1; ParcelableData: null ]; recordCount: 0; OutBounds: Rect(48, 381 - 1032, 467); SyscTime: 1449305702760
EventType: TYPE_VIEW_TEXT_CHANGED; EventTime: 48550283; PackageName: com.netease.cloudmusic; MovementGranularity: 0; Action: 0 [ ClassName: android.widget.EditText; Text: [1886]; ContentDescription: null; ItemCount: -1; CurrentItemIndex: -1; IsEnabled: true; IsPassword: false; IsChecked: false; IsFullScreen: false; Scrollable: false; BeforeText: 188; FromIndex: 3; ToIndex: -1; ScrollX: -1; ScrollY: -1; MaxScrollX: -1; MaxScrollY: -1; AddedCount: 1; RemovedCount: 0; ParcelableData: null ]; recordCount: 0; OutBounds: Rect(48, 381 - 1032, 467); SyscTime: 1449305703077
EventType: TYPE_VIEW_TEXT_SELECTION_CHANGED; EventTime: 48550284; PackageName: com.netease.cloudmusic; MovementGranularity: 0; Action: 0 [ ClassName: android.widget.EditText; Text: [1886]; ContentDescription: null; ItemCount: 4; CurrentItemIndex: -1; IsEnabled: true; IsPassword: false; IsChecked: false; IsFullScreen: false; Scrollable: false; BeforeText: null; FromIndex: 4; ToIndex: 4; ScrollX: -1; ScrollY: -1; MaxScrollX: -1; MaxScrollY: -1; AddedCount: -1; RemovedCount: -1; ParcelableData: null ]; recordCount: 0; OutBounds: Rect(48, 381 - 1032, 467); SyscTime: 1449305703115
EventType: TYPE_VIEW_TEXT_CHANGED; EventTime: 48550681; PackageName: com.netease.cloudmusic; MovementGranularity: 0; Action: 0 [ ClassName: android.widget.EditText; Text: [18860]; ContentDescription: null; ItemCount: -1; CurrentItemIndex: -1; IsEnabled: true; IsPassword: false; IsChecked: false; IsFullScreen: false; Scrollable: false; BeforeText: 1886; FromIndex: 4; ToIndex: -1; ScrollX: -1; ScrollY: -1; MaxScrollX: -1; MaxScrollY: -1; AddedCount: 1; RemovedCount: 0; ParcelableData: null ]; recordCount: 0; OutBounds: Rect(48, 381 - 1032, 467); SyscTime: 1449305703474
EventType: TYPE_VIEW_TEXT_SELECTION_CHANGED; EventTime: 48550683; PackageName: com.netease.cloudmusic; MovementGranularity: 0; Action: 0 [ ClassName: android.widget.EditText; Text: [18860]; ContentDescription: null; ItemCount: 5; CurrentItemIndex: -1; IsEnabled: true; IsPassword: false; IsChecked: false; IsFullScreen: false; Scrollable: false; BeforeText: null; FromIndex: 5; ToIndex: 5; ScrollX: -1; ScrollY: -1; MaxScrollX: -1; MaxScrollY: -1; AddedCount: -1; RemovedCount: -1; ParcelableData: null ]; recordCount: 0; OutBounds: Rect(48, 381 - 1032, 467); SyscTime: 1449305703492
EventType: TYPE_VIEW_TEXT_CHANGED; EventTime: 48550985; PackageName: com.netease.cloudmusic; MovementGranularity: 0; Action: 0 [ ClassName: android.widget.EditText; Text: [188609]; ContentDescription: null; ItemCount: -1; CurrentItemIndex: -1; IsEnabled: true; IsPassword: false; IsChecked: false; IsFullScreen: false; Scrollable: false; BeforeText: 18860; FromIndex: 5; ToIndex: -1; ScrollX: -1; ScrollY: -1; MaxScrollX: -1; MaxScrollY: -1; AddedCount: 1; RemovedCount: 0; ParcelableData: null ]; recordCount: 0; OutBounds: Rect(48, 381 - 1032, 467); SyscTime: 1449305703780
EventType: TYPE_VIEW_TEXT_SELECTION_CHANGED; EventTime: 48550986; PackageName: com.netease.cloudmusic; MovementGranularity: 0; Action: 0 [ ClassName: android.widget.EditText; Text: [188609]; ContentDescription: null; ItemCount: 6; CurrentItemIndex: -1; IsEnabled: true; IsPassword: false; IsChecked: false; IsFullScreen: false; Scrollable: false; BeforeText: null; FromIndex: 6; ToIndex: 6; ScrollX: -1; ScrollY: -1; MaxScrollX: -1; MaxScrollY: -1; AddedCount: -1; RemovedCount: -1; ParcelableData: null ]; recordCount: 0; OutBounds: Rect(48, 381 - 1032, 467); SyscTime: 1449305703817
EventType: TYPE_VIEW_TEXT_CHANGED; EventTime: 48551337; PackageName: com.netease.cloudmusic; MovementGranularity: 0; Action: 0 [ ClassName: android.widget.EditText; Text: [1886097]; ContentDescription: null; ItemCount: -1; CurrentItemIndex: -1; IsEnabled: true; IsPassword: false; IsChecked: false; IsFullScreen: false; Scrollable: false; BeforeText: 188609; FromIndex: 6; ToIndex: -1; ScrollX: -1; ScrollY: -1; MaxScrollX: -1; MaxScrollY: -1; AddedCount: 1; RemovedCount: 0; ParcelableData: null ]; recordCount: 0; OutBounds: Rect(48, 381 - 1032, 467); SyscTime: 1449305704130
EventType: TYPE_VIEW_TEXT_SELECTION_CHANGED; EventTime: 48551338; PackageName: com.netease.cloudmusic; MovementGranularity: 0; Action: 0 [ ClassName: android.widget.EditText; Text: [1886097]; ContentDescription: null; ItemCount: 7; CurrentItemIndex: -1; IsEnabled: true; IsPassword: false; IsChecked: false; IsFullScreen: false; Scrollable: false; BeforeText: null; FromIndex: 7; ToIndex: 7; ScrollX: -1; ScrollY: -1; MaxScrollX: -1; MaxScrollY: -1; AddedCount: -1; RemovedCount: -1; ParcelableData: null ]; recordCount: 0; OutBounds: Rect(48, 381 - 1032, 467); SyscTime: 1449305704147
EventType: TYPE_VIEW_TEXT_CHANGED; EventTime: 48552155; PackageName: com.netease.cloudmusic; MovementGranularity: 0; Action: 0 [ ClassName: android.widget.EditText; Text: [18860972]; ContentDescription: null; ItemCount: -1; CurrentItemIndex: -1; IsEnabled: true; IsPassword: false; IsChecked: false; IsFullScreen: false; Scrollable: false; BeforeText: 1886097; FromIndex: 7; ToIndex: -1; ScrollX: -1; ScrollY: -1; MaxScrollX: -1; MaxScrollY: -1; AddedCount: 1; RemovedCount: 0; ParcelableData: null ]; recordCount: 0; OutBounds: Rect(48, 381 - 1032, 467); SyscTime: 1449305704947
EventType: TYPE_VIEW_TEXT_SELECTION_CHANGED; EventTime: 48552156; PackageName: com.netease.cloudmusic; MovementGranularity: 0; Action: 0 [ ClassName: android.widget.EditText; Text: [18860972]; ContentDescription: null; ItemCount: 8; CurrentItemIndex: -1; IsEnabled: true; IsPassword: false; IsChecked: false; IsFullScreen: false; Scrollable: false; BeforeText: null; FromIndex: 8; ToIndex: 8; ScrollX: -1; ScrollY: -1; MaxScrollX: -1; MaxScrollY: -1; AddedCount: -1; RemovedCount: -1; ParcelableData: null ]; recordCount: 0; OutBounds: Rect(48, 381 - 1032, 467); SyscTime: 1449305704965
